Node label	Matching Sequences
	OmyAC19ROGR_4846b
	OmyAC19ROGR_5064b
	OmyAC19ROGR_5434a
	OmyAC19ROGR_5614b
	OmyAC19ROGR_4038b
	OmyAC19ROGR_4287a
	OmyAC19ROGR_4967b
	OmyAC19ROGR_5083b
	OmyAC19ROGR_5445a
	OmyAC19ROGR_5494b
	OmyAC19ROGR_5542b
	OmyAC19ROGR_4044b
	OmyAC19ROGR_4306b
	OmyAC19ROGR_4607b
	OmyAC19ROGR_4868b
	OmyAC19ROGR_5446b
	OmyAC19ROGR_5505b
	OmyAC19ROGR_5543b
	OmyAC19ROGR_5621b
	OmyAC19ROGR_4060b
	OmyAC19ROGR_4338b
	OmyAC19ROGR_4650b
	OmyAC19ROGR_5328b
	OmyAC19ROGR_5452a
	OmyAC19ROGR_5544b
	OmyAC19ROGR_5622b
	OmyAC19ROGR_4402a
	OmyAC19ROGR_4787b
	OmyAC19ROGR_4898b
	OmyAC19ROGR_4972b
	OmyAC19ROGR_5453b
	OmyAC19ROGR_5624b
	OmyAC19ROGR_4087a
	OmyAC19ROGR_4248a
	OmyAC19ROGR_4248b
	OmyAC19ROGR_4403b
	OmyAC19ROGR_4803b
	OmyAC19ROGR_5225a
	OmyAC19ROGR_5454b
	OmyAC19ROGR_5508b
	OmyAC19ROGR_4252a
	OmyAC19ROGR_4833a
	OmyAC19ROGR_5055b
	OmyAC19ROGR_5249a
	OmyAC19ROGR_5455b
	OmyAC19ROGR_5602b
	OmyJC19ROGR_0033a
	OmyJC19ROGR_0033b
	OmyJC19ROGR_0041a
	OmyJC19ROGR_0041b
	OmyJC19ROGR_0073a
	OmyJC19ROGR_0073b
	OmyJC19ROGR_0089b
	OmyJC19ROGR_0010b
	OmyJC19ROGR_0026b
	OmyJC19ROGR_0034a
	OmyJC19ROGR_0034b
	OmyJC19ROGR_0042a
	OmyJC19ROGR_0042b
	OmyJC19ROGR_0058a
	OmyJC19ROGR_0058b
	OmyJC19ROGR_0074b
	OmyJC19ROGR_0090a
	OmyJC19ROGR_0090b
	OmyJC19ROGR_0003b
	OmyJC19ROGR_0043a
	OmyJC19ROGR_0043b
	OmyJC19ROGR_0051b
	OmyJC19ROGR_0067b
	OmyJC19ROGR_0083a
	OmyJC19ROGR_0083b
	OmyJC19ROGR_0004b
	OmyJC19ROGR_0020b
	OmyJC19ROGR_0028a
	OmyJC19ROGR_0028b
	OmyJC19ROGR_0052a
	OmyJC19ROGR_0052b
	OmyJC19ROGR_0060b
	OmyJC19ROGR_0076b
	OmyJC19ROGR_0084a
	OmyJC19ROGR_0092a
	OmyJC19ROGR_0005b
	OmyJC19ROGR_0013a
	OmyJC19ROGR_0013b
	OmyJC19ROGR_0029b
	OmyJC19ROGR_0061a
	OmyJC19ROGR_0077a
	OmyJC19ROGR_0085b
	OmyJC19ROGR_0093a
	OmyJC19ROGR_0093b
	OmyJC19ROGR_0038a
	OmyJC19ROGR_0038b
	OmyJC19ROGR_0062b
	OmyJC19ROGR_0078a
	OmyJC19ROGR_0078b
