pop	clust1	clust2
halfpounder	0.6295	0.3705
halfpounder	0.7492	0.2508
halfpounder	0.5034	0.4966
halfpounder	0.1811	0.8189
halfpounder	0.2657	0.7343
halfpounder	0.2080	0.7920
halfpounder	0.6122	0.3878
halfpounder	0.5909	0.4091
halfpounder	0.6074	0.3926
halfpounder	0.4943	0.5057
halfpounder	0.3773	0.6227
halfpounder	0.3769	0.6231
halfpounder	0.5308	0.4692
halfpounder	0.4010	0.5990
halfpounder	0.8096	0.1904
halfpounder	0.1854	0.8146
halfpounder	0.6144	0.3856
halfpounder	0.6466	0.3534
halfpounder	0.5632	0.4368
halfpounder	0.6247	0.3753
halfpounder	0.5465	0.4535
halfpounder	0.5420	0.4580
halfpounder	0.5172	0.4828
halfpounder	0.7111	0.2889
halfpounder	0.7248	0.2752
halfpounder	0.5974	0.4026
halfpounder	0.2364	0.7636
halfpounder	0.5843	0.4157
halfpounder	0.5979	0.4021
halfpounder	0.6766	0.3234
halfpounder	0.4791	0.5209
halfpounder	0.4179	0.5821
halfpounder	0.3342	0.6658
halfpounder	0.6416	0.3584
halfpounder	0.5285	0.4715
halfpounder	0.6465	0.3535
halfpounder	0.5693	0.4307
halfpounder	0.4446	0.5554
halfpounder	0.1484	0.8516
halfpounder	0.6534	0.3466
halfpounder	0.6044	0.3956
halfpounder	0.4736	0.5264
halfpounder	0.2090	0.7910
halfpounder	0.4309	0.5691
halfpounder	0.5691	0.4309
halfpounder	0.5290	0.4710
halfpounder	0.2875	0.7125
halfpounder	0.5092	0.4908
halfpounder	0.2343	0.7657
halfpounder	0.6331	0.3669
halfpounder	0.6843	0.3157
halfpounder	0.6996	0.3004
halfpounder	0.5402	0.4598
halfpounder	0.5631	0.4369
halfpounder	0.3342	0.6658
halfpounder	0.2182	0.7818
halfpounder	0.3509	0.6491
halfpounder	0.2475	0.7525
halfpounder	0.2194	0.7806
halfpounder	0.5763	0.4237
halfpounder	0.2598	0.7402
halfpounder	0.2189	0.7811
halfpounder	0.5458	0.4542
halfpounder	0.4108	0.5892
halfpounder	0.4663	0.5337
halfpounder	0.2327	0.7673
halfpounder	0.4016	0.5984
halfpounder	0.4605	0.5395
