pop	clust1	clust2	clust3
halfpounder	0.4940	0.2799	0.2261
halfpounder	0.1080	0.7639	0.1282
halfpounder	0.2826	0.5316	0.1858
halfpounder	0.3181	0.3967	0.2852
halfpounder	0.4768	0.3170	0.2061
halfpounder	0.6312	0.1094	0.2594
halfpounder	0.6055	0.1595	0.2350
halfpounder	0.4627	0.0922	0.4451
halfpounder	0.1020	0.1391	0.7590
halfpounder	0.3661	0.2019	0.4319
halfpounder	0.2573	0.0865	0.6562
halfpounder	0.5469	0.1695	0.2836
halfpounder	0.4088	0.4403	0.1509
halfpounder	0.4034	0.3253	0.2712
halfpounder	0.3679	0.3490	0.2831
halfpounder	0.4391	0.2699	0.2909
halfpounder	0.1282	0.4979	0.3738
halfpounder	0.1525	0.6148	0.2327
halfpounder	0.7049	0.1965	0.0986
halfpounder	0.3757	0.2226	0.4016
halfpounder	0.3331	0.2051	0.4618
halfpounder	0.1273	0.0994	0.7733
halfpounder	0.3588	0.1379	0.5032
halfpounder	0.2280	0.5053	0.2667
halfpounder	0.1155	0.5300	0.3545
halfpounder	0.3779	0.4051	0.2169
halfpounder	0.2675	0.3611	0.3715
halfpounder	0.3383	0.3613	0.3004
halfpounder	0.1165	0.0896	0.7939
halfpounder	0.2000	0.0857	0.7143
halfpounder	0.4136	0.3526	0.2338
halfpounder	0.4386	0.1566	0.4049
halfpounder	0.4491	0.1812	0.3697
halfpounder	0.4826	0.0715	0.4459
halfpounder	0.5229	0.3215	0.1556
halfpounder	0.6701	0.1801	0.1498
halfpounder	0.2459	0.1712	0.5829
halfpounder	0.1720	0.5248	0.3032
