pop	clust1	clust2	clust3	clust4
fall	0.1808	0.1050	0.1729	0.5414
fall	0.6060	0.0507	0.0811	0.2622
fall	0.3369	0.2937	0.1014	0.2680
fall	0.5805	0.0769	0.1083	0.2343
fall	0.5970	0.0626	0.0875	0.2529
fall	0.3059	0.0720	0.3813	0.2407
fall	0.2947	0.2006	0.2868	0.2179
fall	0.2294	0.2257	0.2888	0.2561
fall	0.1796	0.6139	0.1054	0.1011
fall	0.3572	0.2697	0.1476	0.2255
fall	0.5003	0.2846	0.0736	0.1416
fall	0.5510	0.1160	0.0995	0.2335
fall	0.3538	0.0574	0.1333	0.4555
fall	0.3343	0.2237	0.1731	0.2689
fall	0.1350	0.5270	0.1622	0.1758
fall	0.4268	0.1416	0.0794	0.3522
fall	0.2536	0.1305	0.2486	0.3672
fall	0.4568	0.1050	0.1883	0.2498
fall	0.1416	0.0900	0.5300	0.2384
fall	0.2484	0.2353	0.2670	0.2494
fall	0.1970	0.0734	0.5957	0.1339
fall	0.2580	0.3455	0.2103	0.1862
fall	0.3107	0.1906	0.0510	0.4477
fall	0.4210	0.3004	0.0754	0.2031
fall	0.1758	0.3495	0.2474	0.2273
fall	0.2348	0.1917	0.4199	0.1537
fall	0.3257	0.0616	0.3925	0.2202
fall	0.0915	0.1080	0.7004	0.1001
fall	0.4129	0.1126	0.1220	0.3526
fall	0.2733	0.0810	0.1767	0.4690
fall	0.4602	0.1421	0.1161	0.2816
fall	0.1124	0.3846	0.3122	0.1908
fall	0.1111	0.1678	0.6352	0.0858
fall	0.3332	0.3058	0.1202	0.2409
fall	0.3617	0.0956	0.2465	0.2962
fall	0.3017	0.0735	0.2175	0.4073
fall	0.0863	0.4399	0.2273	0.2466
fall	0.2730	0.2311	0.1323	0.3636
fall	0.1878	0.0574	0.5231	0.2316
fall	0.2793	0.1714	0.1580	0.3913
fall	0.1343	0.4212	0.3410	0.1036
fall	0.3247	0.0990	0.2534	0.3230
fall	0.4286	0.0593	0.1580	0.3542
fall	0.6144	0.0406	0.0751	0.2700
fall	0.2003	0.1063	0.0849	0.6086
fall	0.1731	0.0808	0.2074	0.5386
fall	0.1237	0.3536	0.3263	0.1964
fall	0.0707	0.6884	0.0645	0.1764
fall	0.0770	0.7840	0.0673	0.0717
fall	0.0566	0.8426	0.0443	0.0566
fall	0.0790	0.6543	0.1682	0.0985
fall	0.3018	0.0433	0.1787	0.4762
fall	0.4039	0.1755	0.1678	0.2528
fall	0.2032	0.2717	0.2418	0.2833
fall	0.4906	0.0546	0.1894	0.2654
fall	0.3075	0.0494	0.2862	0.3568
fall	0.1737	0.5065	0.1482	0.1716
fall	0.6397	0.0526	0.0596	0.2481
fall	0.2896	0.1907	0.1693	0.3504
fall	0.0680	0.8154	0.0599	0.0567
fall	0.4823	0.1580	0.0540	0.3057
fall	0.1987	0.4639	0.1444	0.1930
fall	0.1829	0.2823	0.2247	0.3100
fall	0.3044	0.3351	0.0966	0.2640
fall	0.2478	0.5060	0.0723	0.1740
fall	0.1998	0.5136	0.1344	0.1522
fall	0.6819	0.0810	0.0845	0.1525
fall	0.0983	0.0291	0.7545	0.1181
fall	0.0950	0.5876	0.2337	0.0837
fall	0.1615	0.4569	0.1741	0.2075
fall	0.2690	0.1472	0.3585	0.2253
fall	0.1263	0.2007	0.2153	0.4576
fall	0.1990	0.1353	0.3414	0.3243
fall	0.2858	0.1320	0.2796	0.3026
fall	0.2897	0.2594	0.0711	0.3798
fall	0.1749	0.6292	0.0614	0.1344
fall	0.1768	0.2377	0.0608	0.5247
fall	0.4541	0.1611	0.0716	0.3132
fall	0.0540	0.7290	0.1200	0.0970
fall	0.2572	0.0313	0.5174	0.1941
fall	0.1773	0.1780	0.2566	0.3881
fall	0.6483	0.0360	0.1552	0.1605
fall	0.0872	0.4716	0.2445	0.1968
fall	0.2258	0.0854	0.3425	0.3462
fall	0.3456	0.0786	0.0625	0.5133
fall	0.0858	0.1665	0.6646	0.0830
fall	0.6159	0.0711	0.1067	0.2063
fall	0.0861	0.8106	0.0351	0.0681
fall	0.1271	0.6712	0.0890	0.1127
fall	0.3801	0.3120	0.1668	0.1411
fall	0.4768	0.1591	0.0844	0.2797
fall	0.1556	0.4288	0.1447	0.2710
fall	0.2988	0.0771	0.1557	0.4684
fall	0.6062	0.0824	0.0967	0.2146
fall	0.5605	0.0423	0.1378	0.2594
fall	0.3393	0.2622	0.1449	0.2536
fall	0.1173	0.5291	0.1857	0.1679
fall	0.0643	0.0787	0.6298	0.2273
fall	0.4611	0.1559	0.0857	0.2973
fall	0.0519	0.8541	0.0373	0.0567
fall	0.4238	0.0709	0.0613	0.4440
fall	0.1099	0.0517	0.5096	0.3288
fall	0.0532	0.8411	0.0526	0.0532
fall	0.6514	0.0889	0.0650	0.1947
fall	0.4079	0.1091	0.1143	0.3687
fall	0.0702	0.8131	0.0446	0.0722
fall	0.2390	0.0517	0.5422	0.1671
fall	0.2042	0.1273	0.1836	0.4848
fall	0.1590	0.5815	0.0784	0.1811
fall	0.0493	0.8617	0.0401	0.0489
fall	0.0474	0.7149	0.1758	0.0618
fall	0.2123	0.4141	0.0900	0.2836
fall	0.4756	0.0740	0.0858	0.3645
fall	0.4452	0.1137	0.0619	0.3793
fall	0.0941	0.6930	0.1310	0.0819
fall	0.1306	0.4214	0.1316	0.3165
fall	0.1770	0.1193	0.0507	0.6530
fall	0.1757	0.6461	0.0736	0.1046
fall	0.1190	0.0577	0.4088	0.4145
fall	0.1667	0.1462	0.1729	0.5142
fall	0.1560	0.0687	0.0866	0.6888
fall	0.4521	0.3165	0.0657	0.1657
fall	0.1470	0.2123	0.2725	0.3682
halfpounder	0.2072	0.3636	0.2775	0.1517
halfpounder	0.3618	0.1648	0.2350	0.2384
halfpounder	0.2233	0.1614	0.1441	0.4711
halfpounder	0.0580	0.5976	0.2614	0.0830
halfpounder	0.1106	0.6416	0.1009	0.1470
